C_course-v1:McGillX+ATOC185x+2015_T1	自然灾害（自主模式）
C_course-v1:TsinghuaX+THESIS2015X+2015_T1	2015年清华大学研究生学位论文答辩（二）
C_course-v1:TsinghuaX+THESIS2014_1X_tv+_2014_	2014年清华大学研究生学位论文答辩（一）
C_course-v1:TsinghuaX+THESIS2015X_tv+2015_T1	2015年清华大学研究生学位论文答辩（一）
C_course-v1:TsinghuaX+00690242+sp	文物精品与文化中国（自主模式）
C_course-v1:TsinghuaX+00720091X+sp	足球运动与科学（自主模式）
C_course-v1:TsinghuaX+70120073X+sp	有限元分析及应用（自主模式）
C_course-v1:TsinghuaX+00310222X+sp	创客培养：趣味力学实验与制作（自主模式）
C_course-v1:BIT+PHY1701702+sp	大学物理——电磁学（自主模式）
C_course-v1:TsinghuaX+00690092X+sp	逻辑学概论（自主模式）
C_course-v1:TsinghuaX+00740043X_2015_T2+sp	C++语言程序设计基础（自主模式）
C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp	C++语言程序设计进阶 (自主模式)
C_course-v1:Tsinghuax+30130123X+sp	控制工程基础（自主模式）
C_course-v1:TsinghuaX+70250023X_2015_2+sp	线性系统理论（自主模式）
C_course-v1:TsinghuaX+10430484X_2015_2+sp	大学物理1 (力学、热学)(自主模式)
C_course-v1:TsinghuaX+20220053X_2015_T2+sp	电工技术（自主模式）
C_course-v1:TsinghuaX+10421075X_2015_2+sp	微积分B(1)（自主模式）
C_course-v1:TsinghuaX+10421084X_2015_2+sp	微积分B(2)(自主模式)
C_course-v1:TsinghuaX+20330334X_2015_2+sp	理论力学（自主模式）
C_course-v1:TsinghuaX+10421102x_2015_T2+sp	线性代数(2)（自主模式）
C_course-v1:TsinghuaX+20430064X+sp	量子力学（上）(自主模式)
C_course-v1:TsinghuaX+20250103X+sp	数字电子技术基础（自主模式）
C_course-v1:TsinghuaX+10421094X_2015_2+sp	线性代数(1)（自主模式）
C_course-v1:MITx+6_00_1x+sp	计算机科学和Python编程导论（自主模式）
C_course-v1:TsinghuaX+THESIS2016X_tv+2016_T1	2016年清华大学研究生学位论文答辩（二）
C_course-v1:TsinghuaX+30140393X+sp	燃烧理论（自主模式）
C_course-v1:TsinghuaX+30240184+sp	数据结构(上)(自主模式)
C_course-v1:TsinghuaX+30240184_2X+sp	数据结构(下)(自主模式)
C_course-v1:MITx+6_002x+sp	电路与电子学 (Circuits and Electronics)(自主模式）
C_course-v1:TsinghuaX+60240013X+sp	组合数学（自主模式）
