C_course-v1:TsinghuaX+70660542X+2015_T2	法学高级入门（自主模式）
C_course-v1:MITx+15_390_2x+sp	创业102：你能为客户做什么？（自主模式）
C_course-v1:TsinghuaX+80590952X+sp	公共危机管理(自主模式）
C_course-v1:ZUELX+B0800280+sp	内部控制与风险管理（自主模式）
C_course-v1:NUDT+125205501+sp	公共管理学（自主模式）
C_course-v1:TsinghuaX+00701032X+sp	美国政治概论（自主模式）
C_course-v1:BNU+GE410081071-01+2017_T1	循环经济与可持续发展型企业(自主模式)
C_course-v1:FudanX+SOSC120007+sp	货币金融学（自主模式）
C_course-v1:DYU+dyuwgzbbm+sp	财务报表：为公司把把脉(自主模式)
C_course-v1:TsinghuaX+00612643X+sp	大唐兴衰（自主模式）
C_course-v1:ACCA+MA1_X+sp	初级管理会计(自主模式)
C_course-v1:CUPB+CUPB201702+sp	中国石油文化（自主模式）
C_course-v1:TsinghuaX+10610224X+sp	毛泽东思想和中国特色社会主义理论体系概论（自主模式）
C_course-v1:TsinghuaX+10691113X+sp	西方思想经典与现代社会（自主模式）
C_course-v1:ACCA+MA2_X+sp	中级管理会计(自主模式)
C_course-v1:TsinghuaX+02070251X+sp	职业探索与选择（自主模式）
C_course-v1:XJTU+ME-XMGL2013-014X+sp	项目采购与合同管理（自主模式）
C_course-v1:TsinghuaX+10610183_2X+sp	思想道德修养与法律基础 (自主模式)
C_course-v1:FUDANx+ECON1300812+sp	金融工程(自主模式)
C_course-v1:ACCA+FA2_X+sp	中级财务会计(自主模式)
C_course-v1:ACCA+FA1_X+sp	初级财务会计（自主模式）
C_course-v1:KMUSTX+8209001+sp	生活中的市场营销学(自主模式)
C_course-v1:WHUT+20171128+sp	产品开发设计（自主模式）
C_course-v1:JNU+03010100+sp	法律人看婚姻家事（自主模式）
C_course-v1:MIT_SLT_Lab+162x+2018_T1	社会责任地产开发：学习使用影响评估工具
C_course-v1:JNU+2018012501X+sp	民法与生活
C_course-v1:Stanford+WomensHealth+sp	妇女健康和权益 International Women's Health and Human Rights（自主模式）
C_course-v1:CCI+ccioo1+2018_T3	医疗器械与医学创新
C_course-v1:ZUELX+B0800280+2018_T2	内部控制与风险管理（2018秋）
C_course-v1:NBCC+013G29A00+2018_T2	劳动关系实务操作（2018秋）
C_course-v1:CityU+GE2304+sp	创新创业基础
C_course-v1:TsinghuaX+Intro2EltrMrt+2018_T2	电力市场概论(2019春)
C_course-v1:YLVTC+2018111301X+2018_T2	市场营销技能
C_course-v1:WUST+20180821002X+2019_T1	创业学（2019春）
C_course-v1:TsinghuaX+01510192X+2019_T1	创业导引——与创业名家面对面（2019春）
C_course-v1:CIE+CIE2016005+2019_T1	创业领导力：美国宇航局的4D卓越团队明星课（2019春）
C_course-v1:CIE+CIE2017005+2019_T1	创业实践案例课程（2019春）
C_course-v1:CIE+CIE2017008+2019_T1	创业私董会（2019春）
C_course-v1:CIE+CIE2016004+2019_T1	复盘：让创业不败的方法论（2019春）
C_course-v1:CIE+CIE2017004+2019_T1	创业成功第一步：写好商业计划书（2019春）
C_course-v1:CIE+JD_2017+2019_T1	万众创新第一课：创新总论与技术产业化（2019春）
C_course-v1:MITx+15_390_2x+2019_T1	创业102：你能为客户做什么？（2019春）
C_course-v1:CIE+CIE2017002+2019_T1	项目管理（2019春）
C_course-v1:CIE+CIE2016002+2019_T1	创业失败：原因与出路（2019春）
C_course-v1:BNU+GE410081071-01+2019_T1	循环经济与可持续发展型企业（2019春）
C_course-v1:TsinghuaX+00510663X+2019_T1	商学导论：10节课带你走进商业世界(2019春)
C_course-v1:FZXY+20171127004+2019_T1	灾害风险管理（2019春）
