《资治通鉴》导读（2019春）	['《资治通鉴》导读(自主模式)']
《资治通鉴》导读(自主模式)	['《资治通鉴》导读（2019春）']
主题英语（2019春）	['主题英语（自主模式）']
主题英语（自主模式）	['主题英语（2019春）']
外国工艺美术史（2019春）	['外国工艺美术史（自主模式）']
外国工艺美术史（自主模式）	['外国工艺美术史（2019春）']
生活中的市场营销学（2019春）	['生活中的市场营销学(自主模式)']
生活中的市场营销学(自主模式)	['生活中的市场营销学（2019春）']
寄生虫与公共卫生（自主模式）	['寄生虫与公共卫生（2019春）']
寄生虫与公共卫生（2019春）	['寄生虫与公共卫生（自主模式）']
风景园林艺术原理（2019春）	['风景园林艺术原理']
风景园林艺术原理	['风景园林艺术原理（2019春）']
宝玉石鉴赏（自主模式）	['宝玉石鉴赏（2019春）']
宝玉石鉴赏（2019春）	['宝玉石鉴赏（自主模式）']
C++语言程序设计基础（自主模式）	['C++语言程序设计基础（2019春）']
C++语言程序设计基础（2019春）	['C++语言程序设计基础（自主模式）']
组织行为学——如何有效管理员工行为（自主模式）	['组织行为学——如何有效管理员工行为（2019春）', '组织行为学——如何有效管理员工行为（2018秋）']
组织行为学——如何有效管理员工行为（2019春）	['组织行为学——如何有效管理员工行为（自主模式）', '组织行为学——如何有效管理员工行为（2018秋）']
组织行为学——如何有效管理员工行为（2018秋）	['组织行为学——如何有效管理员工行为（自主模式）', '组织行为学——如何有效管理员工行为（2019春）']
中级管理会计（2019春）	['中级管理会计(自主模式)']
中级管理会计(自主模式)	['中级管理会计（2019春）']
携手向花间——昆曲经典剧目欣赏（2019春）	['携手向花间——昆曲经典剧目欣赏（自主模式）']
携手向花间——昆曲经典剧目欣赏（自主模式）	['携手向花间——昆曲经典剧目欣赏（2019春）']
 工程热力学（下）	[' 工程热力学（上）']
 工程热力学（上）	[' 工程热力学（下）']
货币金融学（2019春）	['货币金融学（自主模式）']
货币金融学（自主模式）	['货币金融学（2019春）']
日语与日本文化（2019春）	['日语与日本文化（2）', '日语与日本文化(自主模式)']
日语与日本文化（2）	['日语与日本文化（2019春）', '日语与日本文化(自主模式)']
日语与日本文化(自主模式)	['日语与日本文化（2019春）', '日语与日本文化（2）']
中国石油文化（2019春）	['中国石油文化（自主模式）']
中国石油文化（自主模式）	['中国石油文化（2019春）']
大学葡萄牙语（自主模式）	['大学葡萄牙语（2019春）']
大学葡萄牙语（2019春）	['大学葡萄牙语（自主模式）']
艺术的启示（自主模式）	['艺术的启示（2019春 ）']
艺术的启示（2019春 ）	['艺术的启示（自主模式）']
病理生理学	['病理生理学（2019春）']
病理生理学（2019春）	['病理生理学']
循证护理	['循证护理（2019春）']
循证护理（2019春）	['循证护理']
基于R语言的社会统计分析（自主模式）	['基于R语言的社会统计分析（2019春）']
基于R语言的社会统计分析（2019春）	['基于R语言的社会统计分析（自主模式）']
大学历史与文化（自主模式）	['大学历史与文化（2019春）']
大学历史与文化（2019春）	['大学历史与文化（自主模式）']
信息素养——学术研究的必修课（通识版）(自主模式)	['信息素养——学术研究的必修课（2019春）']
信息素养——学术研究的必修课（2019春）	['信息素养——学术研究的必修课（通识版）(自主模式)']
动态测试与分析（上）2019春	['动态测试与分析（下）2019春']
动态测试与分析（下）2019春	['动态测试与分析（上）2019春']
